,title,cleaned
4092,Class of '92: Out of Their League,"The ex-Manchester United stars known as the Class of '92 are going on a new adventure. They've bought a football club seven tiers down from the Premier League with a dream of taking it up to the top. This new series captures the humour and drama on and off the pitch as Ryan Giggs, Phil and Gary Neville, Paul Scholes and Nicky Butt spend their first season in charge of Salford City F.C, a club run by volunteers with an average gate of 80. With intimate access to the Class of '92, the series captures the closeness of their friendship and their determination to succeed."
4093,Cleo & Cuquin,"Cleo & Cuquin follows the adventures of Cleo, Cuquin, and their siblings."
4094,Cleverman,"In the near future, creatures from ancient Aboriginal mythology endowed with extraordinary physical traits have emerged and must coexist with humans. Known as 'Hairypeople' they battle for survival in a world that wants to exploit and destroy them. One young man – The Cleverman – struggles with his own power and the responsibility to unite this divided world, but he must first overcome a deep estrangement from his older brother."
4095,Click for Murder,Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.
4096,Cloroformo,"Life of boxing in Mexico city, bets, deception, love, crime and courage takes place in the lives of amateur boxers to professional fighters."
4097,Close Your Eyes Before It's Dark,"While vacationing at a mountain cabin, a group of longtime friends uncovers an old scandal that could have deadly consequences."
4098,Cloudy with a Chance of Meatballs_2017,"The series is a prequel, featuring the high school years of Flint Lockwood, the eccentric young scientist in the films. In his adventures, he will be joined by Sam Sparks, a new girl in town and the school's ""wannabe"" reporter, along with Flint's dad Tim, Steve the Monkey, Manny as the head of the school's audiovisual club, Earl as a school gym teacher, Brent as a baby wear model, and Mayor Shelbourne, who wins every election on the pro-sardine platform."
4099,Club de Cuervos,"When the patriarch of a prominent family dies, his heirs battle to determine who will gain control of his beloved soccer team: The Cuervos of Nuevo Toledo."
4100,Club de Cuervos Presents: The Ballad of Hugo Sánchez,Chava Iglesias's doting personal assistant Hugo Sánchez is tasked with leading Club de Cuervos to victory in Nicaragua -- if only his mom will let him.
4101,Coach Snoop,"See a different side of Snoop Dogg in this unique documentary, which details the famous rapper's efforts to mentor young athletes and create opportunities for them to compete at the highest level of youth football. We'll meet the kids and coaches that form Snoop's squad -- and witness the important life lessons they learn with every game."
4102,Cocaine,"A three-part documentary series investigating the cocaine trafficking, distribution, usage and state control."
4103,Cocomong,"A little sausage becomes a monkey, an egg becomes a rabbit, a radish becomes a hippo, a cucumber becomes a crocodile and a carrot becomes a donkey. These unique characters express the fun ..."
4104,Code Geass: Lelouch of the Rebellion,"Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show..."
4105,Cold Case Files,"Explore compelling cases that have gone cold for years, chronicling the journeys of the detectives who reopened them. The detectives relive the events of the crimes, reveal new twists and startling revelations, relying on breakthroughs in forensic technology and the influence of social media to help crack these cases."
4106,Cold Justice,"Follow Texas prosecutor Kelly Siegler and Yolanda McClary, a crime-scene investigator for the Las Vegas Police Department, as they help local law-enforcement agencies in small towns across the country solve violent crimes that have sat cold because of lack of funding and proper forensic technology."
4107,Cold Water Cowboys,Fishermen are followed as they set sail off the coast of Newfoundland.
4108,Collateral,"When a pizza delivery driver is shot dead in south London, a tenacious detective goes after the people traffickers behind his murder and unravels a conspiracy that goes to the top."
4109,College Behind Bars,Explore the transformative power of education through the eyes of a dozen incarcerated men and women trying to earn college degrees – and a chance at new beginnings – from one of the country’s most rigorous prison education programs.
4110,College Romance,"College Romance is a story of three BFF's : Karan, Trippy and Naira ; who fall in love and their ridiculous romantic stories take off."
4111,Colony,"In the near future a family must make difficult decisions as they balance staying together with trying to survive. They live in Los Angeles, which has been occupied by a force of outside intruders. While some people have chosen to collaborate with the authorities and benefit from the new order, others have rebelled — and suffer the consequences."
4112,Comedians in Cars Getting Coffee,"Jerry takes his comedy pals out for coffee in a selection of his classic automobiles. Larry David sums it up best when he says, 'You've finally made a show about nothing.'"
4113,COMEDIANS of the world,Global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.
4114,Comedy Bang! Bang!,"Based on Scott Aukerman’s popular podcast of the same name, COMEDY BANG! BANG! cleverly riffs on the well-known format of the late night talk show, infusing celebrity appearances and comedy sketches with a tinge of the surreal. In each episode, Aukerman engages his guests with unfiltered and improvisational lines of questioning, punctuated by banter and beats provided by bandleader, one-man musical mastermind Reggie Watts, to reinvent the traditional celebrity interview. Packed with character cameos, filmic shorts, sketches and games set amongst an off-beat world, COMEDY BANG! BANG! delivers thirty minutes of absurd laugh-loaded fun featuring some of the biggest names in comedy."
